,count,unique,top,freq,mean,std,min,25%,50%,75%,max
carat,53917.0,,,,0.7976866294489677,0.4737769395980588,0.2,0.4,0.7,1.04,5.01
cut,53917,5,Ideal,21547,,,,,,,
color,53917,7,G,11284,,,,,,,
clarity,53917,8,SI1,13063,,,,,,,
depth,53917.0,,,,61.749565072240664,1.432318318290682,43.0,61.0,61.8,62.5,79.0
table,53917.0,,,,57.45693936977205,2.234068890041872,43.0,56.0,57.0,59.0,95.0
price,53917.0,,,,3930.9104735055735,3987.2150031981173,326.0,949.0,2401.0,5323.0,18823.0
x,53917.0,,,,5.731605245098947,1.1194019904378605,3.73,4.71,5.7,6.54,10.74
y,53917.0,,,,5.733428417753213,1.1112718394761005,3.68,4.72,5.71,6.54,10.54
z,53917.0,,,,3.5394090917521375,0.691620073303873,1.07,2.91,3.53,4.04,6.98
